Timestamp,FL Rounds,Epsilon,Delta,Proximal Mu,Mean AUC-ROC,Privacy Risk,Notes
20260626_161749,100,1.0,1.0E-05,0.01,0.4828,LOW,First manual run (pre-sweep)
20260626_164613,100,0.1,1.0E-05,0.01,0.5172,LOW,Sweep run
20260626_172332,100,0.5,1.0E-05,0.01,0.4828,LOW,Sweep run
20260626_173629,100,1.0,1.0E-05,0.01,0.5172,LOW,Sweep run
20260626_174859,100,2.0,1.0E-05,0.01,0.4828,LOW,Sweep run
20260626_180724,100,5.0,1.0E-05,0.01,0.5172,LOW,Sweep run
20260626_184213,200,0.1,1.0E-05,0.01,0.4828,LOW,Sweep run
20260626_213907,200,0.5,1.0E-05,0.01,0.4828,LOW,Sweep run
20260627_032604,200,1.0,1.0E-05,0.01,0.4828,LOW,Sweep run
20260627_035121,200,2.0,1.0E-05,0.01,0.4828,LOW,Sweep run
20260627_041643,200,5.0,1.0E-05,0.01,0.4828,LOW,Sweep run
20260627_051954,500,0.1,1.0E-05,0.01,0.4828,LOW,Sweep run
20260627_062331,500,0.5,1.0E-05,0.01,0.4828,LOW,Sweep run
20260627_072713,500,1.0,1.0E-05,0.01,0.4828,LOW,Sweep run
20260627_083039,500,2.0,1.0E-05,0.01,0.5172,LOW,Sweep run
20260627_093429,500,5.0,1.0E-05,0.01,0.4828,LOW,Sweep run
20260627_114247,1000,0.1,1.0E-05,0.01,0.4828,LOW,Sweep run
20260627_135022,1000,0.5,1.0E-05,0.01,0.4828,LOW,Sweep run
20260627_155731,1000,1.0,1.0E-05,0.01,0.4828,LOW,Sweep run
20260627_191748,1000,2.0,1.0E-05,0.01,0.5172,LOW,Sweep run
20260628_170252,1000,5.0,1.0E-05,0.01,0.4828,LOW,Sweep run
